CustomerID,Recency,Frequency,Monetary,R_Score,M_Score,F_Score,RFM_Segment,RFM_Score,RF_Segment,Customer_Segment
CUST000002,1063,2,1112.67,2,2,2,222,6,22,Hibernating
CUST000003,1463,1,1116.91,1,2,1,112,4,11,Hibernating
CUST000004,196,3,2660.06,4,4,4,434,11,44,Loyal
CUST000005,640,1,1089.56,3,2,1,312,6,31,About To Sleep
CUST000006,249,3,2793.37,4,4,4,434,11,44,Loyal
CUST000007,1546,1,450.53,1,1,1,111,3,11,Hibernating
CUST000008,53,3,4116.16,5,5,4,535,13,54,Champions
CUST000009,258,2,2120.69,4,3,2,423,9,42,Potential Loyalist
CUST000010,41,2,1201.0,5,2,2,522,9,52,Potential Loyalist
CUST000011,66,3,2852.02,5,4,4,534,12,54,Champions
CUST000014,374,2,3768.41,4,5,2,425,11,42,Potential Loyalist
CUST000015,116,2,776.81,5,2,2,522,9,52,Potential Loyalist
CUST000016,493,2,573.05,3,1,2,321,6,32,About To Sleep
CUST000017,8,2,352.57,5,1,2,521,8,52,Potential Loyalist
CUST000018,806,3,3240.99,2,5,4,235,10,24,At Risk
CUST000019,880,1,1371.4,2,3,1,213,6,21,Hibernating
CUST000020,66,1,1394.52,5,3,1,513,9,51,Promising
CUST000021,365,2,2554.11,4,4,2,424,10,42,Potential Loyalist
CUST000022,1069,3,3460.8,2,5,4,235,10,24,At Risk
CUST000023,333,1,1707.39,4,3,1,413,8,41,Promising
CUST000024,965,1,841.88,2,2,1,212,5,21,Hibernating
CUST000025,574,1,266.01,3,1,1,311,5,31,About To Sleep
CUST000026,570,2,2405.37,3,4,2,324,9,32,About To Sleep
CUST000027,155,2,1713.44,5,3,2,523,10,52,Potential Loyalist
CUST000029,1404,3,2454.36,1,4,4,134,8,14,At Risk
CUST000030,471,4,968.95,3,2,5,342,9,35,Loyal
CUST000031,261,4,4627.38,4,5,5,445,13,45,Loyal
CUST000032,464,2,897.27,3,2,2,322,7,32,About To Sleep
CUST000033,1713,1,279.93,1,1,1,111,3,11,Hibernating
CUST000037,1805,1,1712.28,1,3,1,113,5,11,Hibernating
CUST000038,896,2,907.23,2,2,2,222,6,22,Hibernating
CUST000039,8,2,128.68,5,1,2,521,8,52,Potential Loyalist
CUST000040,1350,1,191.74,1,1,1,111,3,11,Hibernating
CUST000041,637,3,1793.55,3,3,4,333,9,34,Loyal
CUST000042,1072,2,1298.03,2,2,2,222,6,22,Hibernating
CUST000043,481,1,497.33,3,1,1,311,5,31,About To Sleep
CUST000044,345,3,3636.77,4,5,4,435,12,44,Loyal
CUST000046,236,4,2558.53,4,4,5,444,12,45,Loyal
CUST000047,1281,2,1081.39,1,2,2,122,5,12,Hibernating
CUST000048,1109,1,1463.6,1,3,1,113,5,11,Hibernating
CUST000049,725,2,2925.89,2,4,2,224,8,22,Hibernating
CUST000050,338,2,2380.86,4,4,2,424,10,42,Potential Loyalist
CUST000051,219,1,758.83,4,2,1,412,7,41,Promising
CUST000052,1709,1,895.66,1,2,1,112,4,11,Hibernating
CUST000053,906,3,1727.68,2,3,4,233,8,24,At Risk
CUST000054,491,2,1560.77,3,3,2,323,8,32,About To Sleep
CUST000055,620,2,4507.969999999999,3,5,2,325,10,32,About To Sleep
CUST000056,455,2,3346.4300000000003,3,5,2,325,10,32,About To Sleep
CUST000058,86,2,651.0300000000001,5,1,2,521,8,52,Potential Loyalist
CUST000059,626,1,1035.29,3,2,1,312,6,31,About To Sleep
CUST000061,707,1,2140.97,2,4,1,214,7,21,Hibernating
CUST000062,57,6,7146.65,5,5,5,545,14,55,Champions
CUST000063,408,3,1043.59,3,2,4,332,8,34,Loyal
CUST000064,25,4,5024.780000000001,5,5,5,545,14,55,Champions
CUST000065,63,3,5306.8,5,5,4,535,13,54,Champions
CUST000066,249,1,881.45,4,2,1,412,7,41,Promising
CUST000067,400,2,1106.49,4,2,2,422,8,42,Potential Loyalist
CUST000068,879,3,2133.56,2,4,4,234,9,24,At Risk
CUST000069,224,5,9578.62,4,5,5,445,13,45,Loyal
CUST000070,3,5,4382.66,5,5,5,545,14,55,Champions
CUST000071,648,2,3549.08,3,5,2,325,10,32,About To Sleep
CUST000072,302,1,1823.97,4,3,1,413,8,41,Promising
CUST000073,641,2,364.29,3,1,2,321,6,32,About To Sleep
CUST000074,209,1,936.42,4,2,1,412,7,41,Promising
CUST000075,1736,1,177.35,1,1,1,111,3,11,Hibernating
CUST000076,203,3,3722.78,4,5,4,435,12,44,Loyal
CUST000077,1675,1,1397.38,1,3,1,113,5,11,Hibernating
CUST000079,574,1,1401.0,3,3,1,313,7,31,About To Sleep
CUST000080,1688,2,1546.23,1,3,2,123,6,12,Hibernating
CUST000081,1655,1,625.81,1,1,1,111,3,11,Hibernating
CUST000082,1187,2,3002.29,1,4,2,124,7,12,Hibernating
CUST000083,507,2,2052.11,3,3,2,323,8,32,About To Sleep
CUST000084,1619,1,113.97,1,1,1,111,3,11,Hibernating
CUST000085,258,3,875.5799999999999,4,2,4,432,9,44,Loyal
CUST000086,347,5,5106.34,4,5,5,445,13,45,Loyal
CUST000087,1294,2,1926.64,1,3,2,123,6,12,Hibernating
CUST000088,1024,1,738.67,2,2,1,212,5,21,Hibernating
CUST000089,886,1,552.31,2,1,1,211,4,21,Hibernating
CUST000092,1205,1,427.8,1,1,1,111,3,11,Hibernating
CUST000093,387,3,1959.58,4,3,4,433,10,44,Loyal
CUST000094,566,1,680.74,3,2,1,312,6,31,About To Sleep
CUST000095,936,2,2744.84,2,4,2,224,8,22,Hibernating
CUST000096,234,4,3768.67,4,5,5,445,13,45,Loyal
CUST000097,1142,1,191.43,1,1,1,111,3,11,Hibernating
CUST000098,6,1,290.85,5,1,1,511,7,51,Promising
CUST000099,969,2,3654.03,2,5,2,225,9,22,Hibernating
CUST000100,788,2,2897.41,2,4,2,224,8,22,Hibernating
CUST000101,681,2,730.36,3,2,2,322,7,32,About To Sleep
CUST000103,1233,2,544.31,1,1,2,121,4,12,Hibernating
CUST000104,180,2,388.09,5,1,2,521,8,52,Potential Loyalist
CUST000105,363,5,2138.8,4,4,5,444,12,45,Loyal
CUST000107,266,2,1778.95,4,3,2,423,9,42,Potential Loyalist
CUST000108,254,4,2228.13,4,4,5,444,12,45,Loyal
CUST000109,350,2,1499.71,4,3,2,423,9,42,Potential Loyalist
CUST000110,2,3,4204.21,5,5,4,535,13,54,Champions
CUST000112,346,3,3073.67,4,4,4,434,11,44,Loyal
CUST000115,113,3,2479.67,5,4,4,534,12,54,Champions
CUST000116,506,2,2850.11,3,4,2,324,9,32,About To Sleep
CUST000119,1176,2,1583.88,1,3,2,123,6,12,Hibernating
CUST000120,1382,1,323.0,1,1,1,111,3,11,Hibernating
CUST000121,54,4,4097.08,5,5,5,545,14,55,Champions
CUST000123,42,4,2268.66,5,4,5,544,13,55,Champions
CUST000126,782,4,1522.33,2,3,5,243,9,25,At Risk
CUST000127,107,1,498.33,5,1,1,511,7,51,Promising
CUST000128,462,2,3416.25,3,5,2,325,10,32,About To Sleep
CUST000131,1347,1,2466.19,1,4,1,114,6,11,Hibernating
CUST000132,1617,1,816.11,1,2,1,112,4,11,Hibernating
CUST000134,730,2,4020.47,2,5,2,225,9,22,Hibernating
CUST000135,266,2,2008.22,4,3,2,423,9,42,Potential Loyalist
CUST000136,1032,1,297.72,2,1,1,211,4,21,Hibernating
CUST000137,109,4,4621.53,5,5,5,545,14,55,Champions
CUST000138,12,5,4850.98,5,5,5,545,14,55,Champions
CUST000139,76,4,2234.19,5,4,5,544,13,55,Champions
CUST000141,887,2,538.3499999999999,2,1,2,221,5,22,Hibernating
CUST000144,1801,1,203.06,1,1,1,111,3,11,Hibernating
CUST000145,1695,1,2649.96,1,4,1,114,6,11,Hibernating
CUST000146,98,3,1374.51,5,3,4,533,11,54,Champions
CUST000147,824,2,1693.52,2,3,2,223,7,22,Hibernating
CUST000148,591,1,783.58,3,2,1,312,6,31,About To Sleep
CUST000149,122,2,1270.2,5,2,2,522,9,52,Potential Loyalist
CUST000150,1137,1,1379.35,1,3,1,113,5,11,Hibernating
CUST000151,501,3,1911.28,3,3,4,333,9,34,Loyal
CUST000152,1195,5,1459.8200000000002,1,3,5,143,8,15,At Risk
CUST000153,663,1,57.05,3,1,1,311,5,31,About To Sleep
CUST000154,468,2,1370.74,3,3,2,323,8,32,About To Sleep
CUST000155,1650,1,1761.45,1,3,1,113,5,11,Hibernating
CUST000156,191,2,1777.3300000000002,4,3,2,423,9,42,Potential Loyalist
CUST000157,1381,2,1238.46,1,2,2,122,5,12,Hibernating
CUST000158,900,3,2935.98,2,4,4,234,9,24,At Risk
CUST000159,291,2,2122.01,4,3,2,423,9,42,Potential Loyalist
CUST000160,1486,4,1882.78,1,3,5,143,8,15,At Risk
CUST000161,163,3,2252.22,5,4,4,534,12,54,Champions
CUST000162,431,1,745.36,3,2,1,312,6,31,About To Sleep
CUST000163,1437,1,1089.83,1,2,1,112,4,11,Hibernating
CUST000164,1161,4,1436.82,1,3,5,143,8,15,At Risk
CUST000165,454,1,865.32,3,2,1,312,6,31,About To Sleep
CUST000166,589,2,2935.28,3,4,2,324,9,32,About To Sleep
CUST000167,1493,1,171.97,1,1,1,111,3,11,Hibernating
CUST000169,103,4,6813.650000000001,5,5,5,545,14,55,Champions
CUST000170,370,4,4652.0,4,5,5,445,13,45,Loyal
CUST000171,179,1,220.37,5,1,1,511,7,51,Promising
CUST000172,1233,1,1376.02,1,3,1,113,5,11,Hibernating
CUST000173,771,1,366.02,2,1,1,211,4,21,Hibernating
CUST000174,485,2,1203.62,3,2,2,322,7,32,About To Sleep
CUST000176,940,1,522.94,2,1,1,211,4,21,Hibernating
CUST000177,37,2,1544.04,5,3,2,523,10,52,Potential Loyalist
CUST000178,366,2,871.72,4,2,2,422,8,42,Potential Loyalist
CUST000179,1463,1,185.21,1,1,1,111,3,11,Hibernating
CUST000180,147,7,4954.05,5,5,5,545,14,55,Champions
CUST000183,20,3,2221.32,5,4,4,534,12,54,Champions
CUST000184,294,1,1150.3,4,2,1,412,7,41,Promising
CUST000185,368,2,506.42,4,1,2,421,7,42,Potential Loyalist
CUST000186,1816,1,1002.32,1,2,1,112,4,11,Hibernating
CUST000188,706,4,3356.62,2,5,5,245,11,25,At Risk
CUST000190,908,1,264.69,2,1,1,211,4,21,Hibernating
CUST000191,362,2,1908.93,4,3,2,423,9,42,Potential Loyalist
CUST000192,1305,2,1518.41,1,3,2,123,6,12,Hibernating
CUST000193,970,2,1386.38,2,3,2,223,7,22,Hibernating
CUST000194,786,1,741.08,2,2,1,212,5,21,Hibernating
CUST000195,400,1,766.71,4,2,1,412,7,41,Promising
CUST000196,1801,1,688.99,1,2,1,112,4,11,Hibernating
CUST000197,1005,2,2167.21,2,4,2,224,8,22,Hibernating
CUST000198,913,1,612.66,2,1,1,211,4,21,Hibernating
CUST000199,198,2,1247.08,4,2,2,422,8,42,Potential Loyalist
CUST000200,77,5,3271.38,5,5,5,545,14,55,Champions
CUST000203,603,3,2907.86,3,4,4,334,10,34,Loyal
CUST000204,755,1,2100.89,2,3,1,213,6,21,Hibernating
CUST000206,508,2,620.13,3,1,2,321,6,32,About To Sleep
CUST000207,1390,1,156.56,1,1,1,111,3,11,Hibernating
CUST000208,562,1,496.0,3,1,1,311,5,31,About To Sleep
CUST000209,18,4,4162.34,5,5,5,545,14,55,Champions
CUST000210,400,2,1759.0,4,3,2,423,9,42,Potential Loyalist
CUST000211,618,5,3642.16,3,5,5,345,12,35,Loyal
CUST000212,1756,1,137.06,1,1,1,111,3,11,Hibernating
CUST000213,862,2,3546.09,2,5,2,225,9,22,Hibernating
CUST000214,402,1,1103.48,4,2,1,412,7,41,Promising
CUST000215,14,6,6449.26,5,5,5,545,14,55,Champions
CUST000216,1764,1,1329.02,1,2,1,112,4,11,Hibernating
CUST000217,240,2,1414.0,4,3,2,423,9,42,Potential Loyalist
CUST000218,792,2,352.54,2,1,2,221,5,22,Hibernating
CUST000219,1065,2,4528.4400000000005,2,5,2,225,9,22,Hibernating
CUST000220,530,3,3360.69,3,5,4,335,11,34,Loyal
CUST000222,1106,1,60.97,1,1,1,111,3,11,Hibernating
CUST000223,119,3,1380.61,5,3,4,533,11,54,Champions
CUST000224,1686,1,444.57,1,1,1,111,3,11,Hibernating
CUST000225,1490,1,454.69,1,1,1,111,3,11,Hibernating
CUST000227,433,1,695.74,3,2,1,312,6,31,About To Sleep
CUST000228,1167,2,408.05,1,1,2,121,4,12,Hibernating
CUST000229,217,3,3046.15,4,4,4,434,11,44,Loyal
CUST000231,957,2,692.5,2,2,2,222,6,22,Hibernating
CUST000232,196,3,1541.58,4,3,4,433,10,44,Loyal
CUST000233,457,1,149.9,3,1,1,311,5,31,About To Sleep
CUST000234,132,5,5256.79,5,5,5,545,14,55,Champions
CUST000235,117,3,3904.91,5,5,4,535,13,54,Champions
CUST000236,125,2,401.9500000000001,5,1,2,521,8,52,Potential Loyalist
CUST000237,25,5,2050.62,5,3,5,543,12,55,Champions
CUST000239,562,2,5681.43,3,5,2,325,10,32,About To Sleep
CUST000240,621,4,3409.9100000000003,3,5,5,345,12,35,Loyal
CUST000241,617,1,405.87,3,1,1,311,5,31,About To Sleep
CUST000242,557,3,3811.33,3,5,4,335,11,34,Loyal
CUST000243,1292,1,63.36,1,1,1,111,3,11,Hibernating
CUST000244,65,4,3135.63,5,4,5,544,13,55,Champions
CUST000245,95,2,1918.59,5,3,2,523,10,52,Potential Loyalist
CUST000246,331,2,999.51,4,2,2,422,8,42,Potential Loyalist
CUST000247,510,2,2537.7,3,4,2,324,9,32,About To Sleep
CUST000248,142,1,1315.7,5,2,1,512,8,51,Promising
CUST000250,505,3,2821.67,3,4,4,334,10,34,Loyal
CUST000251,1056,1,631.14,2,1,1,211,4,21,Hibernating
CUST000253,784,2,1117.06,2,2,2,222,6,22,Hibernating
CUST000254,752,1,1652.07,2,3,1,213,6,21,Hibernating
CUST000255,912,4,4603.94,2,5,5,245,11,25,At Risk
CUST000256,982,1,425.63,2,1,1,211,4,21,Hibernating
CUST000257,843,1,23.02,2,1,1,211,4,21,Hibernating
CUST000258,1103,1,1265.93,1,2,1,112,4,11,Hibernating
CUST000259,85,1,861.46,5,2,1,512,8,51,Promising
CUST000260,641,1,323.5,3,1,1,311,5,31,About To Sleep
CUST000261,385,1,1140.8,4,2,1,412,7,41,Promising
CUST000264,446,4,3347.27,3,5,5,345,12,35,Loyal
CUST000265,820,1,1330.1,2,2,1,212,5,21,Hibernating
CUST000266,633,1,974.3,3,2,1,312,6,31,About To Sleep
CUST000267,1115,2,2448.95,1,4,2,124,7,12,Hibernating
CUST000268,407,2,2357.93,3,4,2,324,9,32,About To Sleep
CUST000269,512,2,1559.0700000000002,3,3,2,323,8,32,About To Sleep
CUST000270,725,2,1264.69,2,2,2,222,6,22,Hibernating
CUST000272,637,2,1452.44,3,3,2,323,8,32,About To Sleep
CUST000275,136,2,909.17,5,2,2,522,9,52,Potential Loyalist
CUST000276,772,1,438.33,2,1,1,211,4,21,Hibernating
CUST000277,51,2,745.67,5,2,2,522,9,52,Potential Loyalist
CUST000278,232,6,4338.08,4,5,5,445,13,45,Loyal
CUST000279,1337,1,2344.4,1,4,1,114,6,11,Hibernating
CUST000280,996,2,3469.6,2,5,2,225,9,22,Hibernating
CUST000281,180,2,607.02,5,1,2,521,8,52,Potential Loyalist
CUST000282,278,3,3750.21,4,5,4,435,12,44,Loyal
CUST000283,1462,1,794.08,1,2,1,112,4,11,Hibernating
CUST000284,261,2,1542.08,4,3,2,423,9,42,Potential Loyalist
CUST000285,104,4,3503.91,5,5,5,545,14,55,Champions
CUST000287,541,1,2316.48,3,4,1,314,8,31,About To Sleep
CUST000289,1046,2,1851.42,2,3,2,223,7,22,Hibernating
CUST000290,1317,1,1637.91,1,3,1,113,5,11,Hibernating
CUST000291,260,1,225.4,4,1,1,411,6,41,Promising
CUST000292,117,2,616.7,5,1,2,521,8,52,Potential Loyalist
CUST000293,542,2,1838.54,3,3,2,323,8,32,About To Sleep
CUST000294,903,3,1887.68,2,3,4,233,8,24,At Risk
CUST000295,920,4,5394.02,2,5,5,245,11,25,At Risk
CUST000296,210,2,1004.28,4,2,2,422,8,42,Potential Loyalist
CUST000297,1285,2,1406.33,1,3,2,123,6,12,Hibernating
CUST000302,1515,1,314.13,1,1,1,111,3,11,Hibernating
CUST000304,1277,2,3274.6800000000003,1,5,2,125,8,12,Hibernating
CUST000305,521,1,2304.93,3,4,1,314,8,31,About To Sleep
CUST000306,347,3,2707.33,4,4,4,434,11,44,Loyal
CUST000307,555,1,1816.25,3,3,1,313,7,31,About To Sleep
CUST000310,735,1,1645.06,2,3,1,213,6,21,Hibernating
CUST000311,784,3,1725.4,2,3,4,233,8,24,At Risk
CUST000312,719,3,2584.56,2,4,4,234,9,24,At Risk
CUST000313,501,3,3698.21,3,5,4,335,11,34,Loyal
CUST000314,1345,1,90.6,1,1,1,111,3,11,Hibernating
CUST000315,981,1,336.82,2,1,1,211,4,21,Hibernating
CUST000316,473,1,2336.11,3,4,1,314,8,31,About To Sleep
CUST000317,1496,2,815.45,1,2,2,122,5,12,Hibernating
CUST000318,896,1,1377.06,2,3,1,213,6,21,Hibernating
CUST000320,1050,1,1050.53,2,2,1,212,5,21,Hibernating
CUST000321,1607,1,744.8,1,2,1,112,4,11,Hibernating
CUST000322,850,2,1234.93,2,2,2,222,6,22,Hibernating
CUST000323,1410,1,526.98,1,1,1,111,3,11,Hibernating
CUST000325,496,3,5719.84,3,5,4,335,11,34,Loyal
CUST000326,551,4,3179.62,3,4,5,344,11,35,Loyal
CUST000327,787,1,1120.75,2,2,1,212,5,21,Hibernating
CUST000328,590,3,4764.299999999999,3,5,4,335,11,34,Loyal
CUST000329,918,1,58.53,2,1,1,211,4,21,Hibernating
CUST000331,278,5,2984.89,4,4,5,444,12,45,Loyal
CUST000332,1207,1,1079.76,1,2,1,112,4,11,Hibernating
CUST000333,1130,1,242.83,1,1,1,111,3,11,Hibernating
CUST000334,357,1,41.59,4,1,1,411,6,41,Promising
CUST000335,72,5,2108.65,5,3,5,543,12,55,Champions
CUST000336,545,1,2615.24,3,4,1,314,8,31,About To Sleep
CUST000337,425,1,875.36,3,2,1,312,6,31,About To Sleep
CUST000338,415,2,1210.45,3,2,2,322,7,32,About To Sleep
CUST000339,2,5,5584.96,5,5,5,545,14,55,Champions
CUST000340,35,6,5169.45,5,5,5,545,14,55,Champions
CUST000341,184,3,2239.38,4,4,4,434,11,44,Loyal
CUST000342,821,3,1587.04,2,3,4,233,8,24,At Risk
CUST000343,307,3,4014.76,4,5,4,435,12,44,Loyal
CUST000344,297,2,722.5899999999999,4,2,2,422,8,42,Potential Loyalist
CUST000345,174,2,519.96,5,1,2,521,8,52,Potential Loyalist
CUST000346,1323,1,1988.09,1,3,1,113,5,11,Hibernating
CUST000348,92,2,1167.3,5,2,2,522,9,52,Potential Loyalist
CUST000349,1519,1,2307.31,1,4,1,114,6,11,Hibernating
CUST000350,412,1,743.17,3,2,1,312,6,31,About To Sleep
CUST000352,72,2,1673.41,5,3,2,523,10,52,Potential Loyalist
CUST000353,303,4,5644.7300000000005,4,5,5,445,13,45,Loyal
CUST000354,36,3,2930.54,5,4,4,534,12,54,Champions
CUST000356,1708,1,711.8,1,2,1,112,4,11,Hibernating
CUST000357,261,3,1229.53,4,2,4,432,9,44,Loyal
